Loading battles from data/raw ...
Cached 41140 battles -> data/winner_battles_cache.pkl
Mirroring enabled: 37,026 augmented training battles
Training policy-bc-v4.3 (threat_dim=14, card_conditioned_placement=True, reaction_weight=3.0, reaction_repeats=2, max_think_steps=8, eval_think_steps=8)
Samples train/val/test: 2236884/33332/33604 on cuda
progress phase=4.3 epoch=1/10 batch=1/4369 work=0.0% elapsed=1s ETA=39180s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=25/4369 work=0.1% elapsed=7s ETA=11914s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=50/4369 work=0.1% elapsed=13s ETA=11309s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=75/4369 work=0.2% elapsed=19s ETA=11117s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=100/4369 work=0.2% elapsed=25s ETA=11110s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=125/4369 work=0.3% elapsed=32s ETA=11140s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=150/4369 work=0.3% elapsed=38s ETA=11073s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=175/4369 work=0.4% elapsed=44s ETA=11020s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=200/4369 work=0.5% elapsed=51s ETA=11162s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=225/4369 work=0.5% elapsed=58s ETA=11114s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=250/4369 work=0.6% elapsed=64s ETA=11076s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=275/4369 work=0.6% elapsed=70s ETA=11038s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=300/4369 work=0.7% elapsed=76s ETA=11012s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=325/4369 work=0.7% elapsed=83s ETA=11059s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=350/4369 work=0.8% elapsed=89s ETA=11022s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=375/4369 work=0.9% elapsed=95s ETA=10999s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=400/4369 work=0.9% elapsed=101s ETA=10977s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=425/4369 work=1.0% elapsed=108s ETA=10996s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=450/4369 work=1.0% elapsed=114s ETA=10979s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=475/4369 work=1.1% elapsed=120s ETA=10958s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=500/4369 work=1.1% elapsed=127s ETA=10937s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=525/4369 work=1.2% elapsed=133s ETA=10959s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=550/4369 work=1.3% elapsed=140s ETA=10943s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=575/4369 work=1.3% elapsed=146s ETA=10953s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=600/4369 work=1.4% elapsed=152s ETA=10943s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=625/4369 work=1.4% elapsed=159s ETA=10928s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=650/4369 work=1.5% elapsed=165s ETA=10916s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=675/4369 work=1.5% elapsed=171s ETA=10904s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=700/4369 work=1.6% elapsed=178s ETA=10905s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=725/4369 work=1.7% elapsed=184s ETA=10888s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=750/4369 work=1.7% elapsed=190s ETA=10882s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=775/4369 work=1.8% elapsed=196s ETA=10879s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=800/4369 work=1.8% elapsed=203s ETA=10893s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=825/4369 work=1.9% elapsed=209s ETA=10882s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=850/4369 work=1.9% elapsed=216s ETA=10873s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=875/4369 work=2.0% elapsed=222s ETA=10862s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=900/4369 work=2.1% elapsed=229s ETA=10871s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=925/4369 work=2.1% elapsed=235s ETA=10876s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=950/4369 work=2.2% elapsed=241s ETA=10862s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=975/4369 work=2.2% elapsed=248s ETA=10857s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=1000/4369 work=2.3% elapsed=254s ETA=10862s tile_loss=0.0000
progress phase=4.3 epoch=1/10 batch=1025/4369 work=2.3% elapsed=261s ETA=10853s tile_loss=0.0000
