time | phase | epoch | batch | work | done | ETA | loss | card@1 | zone | tile | timing
-----+-------+-------+-------+------+------+-----+------+--------+------+------+-------
00:58:18 | 4.2 | 1/10 | 1/3927 |   0.00% | 512/20,102,200 | 7h12m | 5.300 | — | — | — | —
00:58:23 | 4.2 | 1/10 | 25/3927 |   0.06% | 12,800/20,102,200 | 2h26m | 4.818 | — | — | — | —
00:58:28 | 4.2 | 1/10 | 50/3927 |   0.13% | 25,600/20,102,200 | 2h20m | 4.803 | — | — | — | —
00:58:33 | 4.2 | 1/10 | 75/3927 |   0.19% | 38,400/20,102,200 | 2h17m | 4.604 | — | — | — | —
00:58:38 | 4.2 | 1/10 | 100/3927 |   0.25% | 51,200/20,102,200 | 2h16m | 4.488 | — | — | — | —
00:58:43 | 4.2 | 1/10 | 125/3927 |   0.32% | 64,000/20,102,200 | 2h15m | 4.344 | — | — | — | —
00:58:48 | 4.2 | 1/10 | 150/3927 |   0.38% | 76,800/20,102,200 | 2h14m | 4.423 | — | — | — | —
00:58:53 | 4.2 | 1/10 | 175/3927 |   0.45% | 89,600/20,102,200 | 2h14m | 4.209 | — | — | — | —
00:58:59 | 4.2 | 1/10 | 200/3927 |   0.51% | 102,400/20,102,200 | 2h14m | 4.195 | — | — | — | —
00:59:04 | 4.2 | 1/10 | 225/3927 |   0.57% | 115,200/20,102,200 | 2h14m | 4.187 | — | — | — | —
00:59:09 | 4.2 | 1/10 | 250/3927 |   0.64% | 128,000/20,102,200 | 2h14m | 4.080 | — | — | — | —
00:59:14 | 4.2 | 1/10 | 275/3927 |   0.70% | 140,800/20,102,200 | 2h13m | 4.136 | — | — | — | —
00:59:19 | 4.2 | 1/10 | 300/3927 |   0.76% | 153,600/20,102,200 | 2h13m | 4.081 | — | — | — | —
00:59:24 | 4.2 | 1/10 | 325/3927 |   0.83% | 166,400/20,102,200 | 2h13m | 4.039 | — | — | — | —
00:59:29 | 4.2 | 1/10 | 350/3927 |   0.89% | 179,200/20,102,200 | 2h13m | 4.119 | — | — | — | —
00:59:34 | 4.2 | 1/10 | 375/3927 |   0.95% | 192,000/20,102,200 | 2h12m | 4.008 | — | — | — | —
