time | phase | epoch | batch | work | done | ETA | loss | card@1 | zone | tile | timing
-----+-------+-------+-------+------+------+-----+------+--------+------+------+-------
06:23:33 | 4.3 | 1/10 | 1/4369 |   0.00% | 512/22,368,840 | 10h52m | 5.354 | — | — | — | —
06:23:39 | 4.3 | 1/10 | 25/4369 |   0.06% | 12,800/22,368,840 | 3h18m | 4.690 | — | — | — | —
06:23:45 | 4.3 | 1/10 | 50/4369 |   0.11% | 25,600/22,368,840 | 3h08m | 4.549 | — | — | — | —
06:23:51 | 4.3 | 1/10 | 75/4369 |   0.17% | 38,400/22,368,840 | 3h05m | 4.535 | — | — | — | —
06:23:57 | 4.3 | 1/10 | 100/4369 |   0.23% | 51,200/22,368,840 | 3h05m | 4.385 | — | — | — | —
06:24:04 | 4.3 | 1/10 | 125/4369 |   0.29% | 64,000/22,368,840 | 3h05m | 4.321 | — | — | — | —
06:24:10 | 4.3 | 1/10 | 150/4369 |   0.34% | 76,800/22,368,840 | 3h04m | 4.258 | — | — | — | —
06:24:16 | 4.3 | 1/10 | 175/4369 |   0.40% | 89,600/22,368,840 | 3h03m | 4.304 | — | — | — | —
06:24:23 | 4.3 | 1/10 | 200/4369 |   0.46% | 102,400/22,368,840 | 3h06m | 4.201 | — | — | — | —
06:24:29 | 4.3 | 1/10 | 225/4369 |   0.51% | 115,200/22,368,840 | 3h05m | 4.098 | — | — | — | —
06:24:36 | 4.3 | 1/10 | 250/4369 |   0.57% | 128,000/22,368,840 | 3h04m | 4.089 | — | — | — | —
06:24:42 | 4.3 | 1/10 | 275/4369 |   0.63% | 140,800/22,368,840 | 3h03m | 4.069 | — | — | — | —
06:24:48 | 4.3 | 1/10 | 300/4369 |   0.69% | 153,600/22,368,840 | 3h03m | 4.135 | — | — | — | —
06:24:55 | 4.3 | 1/10 | 325/4369 |   0.74% | 166,400/22,368,840 | 3h04m | 4.109 | — | — | — | —
06:25:01 | 4.3 | 1/10 | 350/4369 |   0.80% | 179,200/22,368,840 | 3h03m | 4.118 | — | — | — | —
06:25:07 | 4.3 | 1/10 | 375/4369 |   0.86% | 192,000/22,368,840 | 3h03m | 4.019 | — | — | — | —
06:25:13 | 4.3 | 1/10 | 400/4369 |   0.92% | 204,800/22,368,840 | 3h02m | 3.982 | — | — | — | —
06:25:20 | 4.3 | 1/10 | 425/4369 |   0.97% | 217,600/22,368,840 | 3h03m | 4.010 | — | — | — | —
06:25:26 | 4.3 | 1/10 | 450/4369 |   1.03% | 230,400/22,368,840 | 3h02m | 3.885 | — | — | — | —
06:25:32 | 4.3 | 1/10 | 475/4369 |   1.09% | 243,200/22,368,840 | 3h02m | 3.974 | — | — | — | —
06:25:39 | 4.3 | 1/10 | 500/4369 |   1.14% | 256,000/22,368,840 | 3h02m | 3.977 | — | — | — | —
