time | phase | epoch | batch | work | done | ETA | loss | card@1 | zone | tile | timing
-----+-------+-------+-------+------+------+-----+------+--------+------+------+-------
02:41:06 | 4.4.1 | 1/11 | 1/5425 |   0.00% | 512/30,550,828 | 24h48m | 4.779 | — | — | — | —
02:41:12 | 4.4.1 | 1/11 | 25/5425 |   0.04% | 12,800/30,550,828 | 5h00m | 5.143 | — | — | — | —
02:41:18 | 4.4.1 | 1/11 | 50/5425 |   0.08% | 25,600/30,550,828 | 4h36m | 4.770 | — | — | — | —
02:41:25 | 4.4.1 | 1/11 | 75/5425 |   0.13% | 38,400/30,550,828 | 4h33m | 4.742 | — | — | — | —
02:41:31 | 4.4.1 | 1/11 | 100/5425 |   0.17% | 51,200/30,550,828 | 4h23m | 5.030 | — | — | — | —
02:41:37 | 4.4.1 | 1/11 | 125/5425 |   0.21% | 64,000/30,550,828 | 4h19m | 4.714 | — | — | — | —
02:41:43 | 4.4.1 | 1/11 | 150/5425 |   0.25% | 76,800/30,550,828 | 4h16m | 4.650 | — | — | — | —
02:41:49 | 4.4.1 | 1/11 | 175/5425 |   0.29% | 89,600/30,550,828 | 4h13m | 4.745 | — | — | — | —
02:41:55 | 4.4.1 | 1/11 | 200/5425 |   0.34% | 102,400/30,550,828 | 4h12m | 4.571 | — | — | — | —
02:42:02 | 4.4.1 | 1/11 | 225/5425 |   0.38% | 115,200/30,550,828 | 4h11m | 5.109 | — | — | — | —
02:42:07 | 4.4.1 | 1/11 | 250/5425 |   0.42% | 128,000/30,550,828 | 4h09m | 4.767 | — | — | — | —
02:42:13 | 4.4.1 | 1/11 | 275/5425 |   0.46% | 140,800/30,550,828 | 4h08m | 4.695 | — | — | — | —
02:42:19 | 4.4.1 | 1/11 | 300/5425 |   0.50% | 153,600/30,550,828 | 4h06m | 4.892 | — | — | — | —
02:42:25 | 4.4.1 | 1/11 | 325/5425 |   0.54% | 166,400/30,550,828 | 4h05m | 4.784 | — | — | — | —
02:42:31 | 4.4.1 | 1/11 | 350/5425 |   0.59% | 179,200/30,550,828 | 4h04m | 4.510 | — | — | — | —
02:42:37 | 4.4.1 | 1/11 | 375/5425 |   0.63% | 192,000/30,550,828 | 4h04m | 5.031 | — | — | — | —
