time | phase | epoch | batch | work | done | ETA | loss | card@1 | zone | tile | timing
-----+-------+-------+-------+------+------+-----+------+--------+------+------+-------
01:35:03 | 4.4.1 | 1/12 | 1/5425 |   0.00% | 512/33,328,176 | 25h15m | 4.778 | — | — | — | —
01:35:09 | 4.4.1 | 1/12 | 25/5425 |   0.04% | 12,800/33,328,176 | 5h09m | 4.689 | — | — | — | —
01:35:14 | 4.4.1 | 1/12 | 50/5425 |   0.08% | 25,600/33,328,176 | 4h34m | 4.975 | — | — | — | —
01:35:20 | 4.4.1 | 1/12 | 75/5425 |   0.12% | 38,400/33,328,176 | 4h23m | 4.717 | — | — | — | —
01:35:26 | 4.4.1 | 1/12 | 100/5425 |   0.15% | 51,200/33,328,176 | 4h27m | 4.893 | — | — | — | —
01:35:32 | 4.4.1 | 1/12 | 125/5425 |   0.19% | 64,000/33,328,176 | 4h25m | 4.838 | — | — | — | —
01:35:38 | 4.4.1 | 1/12 | 150/5425 |   0.23% | 76,800/33,328,176 | 4h25m | 4.832 | — | — | — | —
01:35:44 | 4.4.1 | 1/12 | 175/5425 |   0.27% | 89,600/33,328,176 | 4h21m | 4.837 | — | — | — | —
01:35:49 | 4.4.1 | 1/12 | 200/5425 |   0.31% | 102,400/33,328,176 | 4h18m | 4.705 | — | — | — | —
01:35:55 | 4.4.1 | 1/12 | 225/5425 |   0.35% | 115,200/33,328,176 | 4h18m | 4.825 | — | — | — | —
01:36:01 | 4.4.1 | 1/12 | 250/5425 |   0.38% | 128,000/33,328,176 | 4h18m | 4.775 | — | — | — | —
01:36:07 | 4.4.1 | 1/12 | 275/5425 |   0.42% | 140,800/33,328,176 | 4h16m | 4.684 | — | — | — | —
01:36:13 | 4.4.1 | 1/12 | 300/5425 |   0.46% | 153,600/33,328,176 | 4h17m | 4.741 | — | — | — | —
01:36:19 | 4.4.1 | 1/12 | 325/5425 |   0.50% | 166,400/33,328,176 | 4h16m | 4.821 | — | — | — | —
01:36:24 | 4.4.1 | 1/12 | 350/5425 |   0.54% | 179,200/33,328,176 | 4h15m | 4.743 | — | — | — | —
01:36:30 | 4.4.1 | 1/12 | 375/5425 |   0.58% | 192,000/33,328,176 | 4h14m | 4.711 | — | — | — | —
01:36:36 | 4.4.1 | 1/12 | 400/5425 |   0.61% | 204,800/33,328,176 | 4h13m | 4.749 | — | — | — | —
01:36:41 | 4.4.1 | 1/12 | 425/5425 |   0.65% | 217,600/33,328,176 | 4h12m | 4.757 | — | — | — | —
01:36:47 | 4.4.1 | 1/12 | 450/5425 |   0.69% | 230,400/33,328,176 | 4h12m | 4.980 | — | — | — | —
01:36:53 | 4.4.1 | 1/12 | 475/5425 |   0.73% | 243,200/33,328,176 | 4h12m | 4.996 | — | — | — | —
01:36:59 | 4.4.1 | 1/12 | 500/5425 |   0.77% | 256,000/33,328,176 | 4h12m | 5.016 | — | — | — | —
01:37:04 | 4.4.1 | 1/12 | 525/5425 |   0.81% | 268,800/33,328,176 | 4h11m | 4.807 | — | — | — | —
01:37:10 | 4.4.1 | 1/12 | 550/5425 |   0.84% | 281,600/33,328,176 | 4h12m | 4.937 | — | — | — | —
01:37:16 | 4.4.1 | 1/12 | 575/5425 |   0.88% | 294,400/33,328,176 | 4h11m | 4.792 | — | — | — | —
01:37:22 | 4.4.1 | 1/12 | 600/5425 |   0.92% | 307,200/33,328,176 | 4h11m | 4.621 | — | — | — | —
01:37:28 | 4.4.1 | 1/12 | 625/5425 |   0.96% | 320,000/33,328,176 | 4h11m | 4.763 | — | — | — | —
01:37:35 | 4.4.1 | 1/12 | 650/5425 |   1.00% | 332,800/33,328,176 | 4h13m | 4.792 | — | — | — | —
01:37:40 | 4.4.1 | 1/12 | 675/5425 |   1.04% | 345,600/33,328,176 | 4h12m | 4.823 | — | — | — | —
01:37:46 | 4.4.1 | 1/12 | 700/5425 |   1.08% | 358,400/33,328,176 | 4h12m | 4.718 | — | — | — | —
01:37:52 | 4.4.1 | 1/12 | 725/5425 |   1.11% | 371,200/33,328,176 | 4h12m | 4.989 | — | — | — | —
01:37:58 | 4.4.1 | 1/12 | 750/5425 |   1.15% | 384,000/33,328,176 | 4h12m | 4.705 | — | — | — | —
01:38:03 | 4.4.1 | 1/12 | 775/5425 |   1.19% | 396,800/33,328,176 | 4h11m | 4.863 | — | — | — | —
01:38:09 | 4.4.1 | 1/12 | 800/5425 |   1.23% | 409,600/33,328,176 | 4h10m | 4.735 | — | — | — | —
01:38:15 | 4.4.1 | 1/12 | 825/5425 |   1.27% | 422,400/33,328,176 | 4h10m | 4.683 | — | — | — | —
01:38:21 | 4.4.1 | 1/12 | 850/5425 |   1.31% | 435,200/33,328,176 | 4h10m | 4.765 | — | — | — | —
01:38:26 | 4.4.1 | 1/12 | 875/5425 |   1.34% | 448,000/33,328,176 | 4h10m | 4.944 | — | — | — | —
01:38:32 | 4.4.1 | 1/12 | 900/5425 |   1.38% | 460,800/33,328,176 | 4h09m | 4.895 | — | — | — | —
01:38:37 | 4.4.1 | 1/12 | 925/5425 |   1.42% | 473,600/33,328,176 | 4h09m | 4.922 | — | — | — | —
01:38:42 | 4.4.1 | 1/12 | 950/5425 |   1.46% | 486,400/33,328,176 | 4h08m | 4.608 | — | — | — | —
01:38:48 | 4.4.1 | 1/12 | 975/5425 |   1.50% | 499,200/33,328,176 | 4h07m | 4.862 | — | — | — | —
