time | phase | epoch | batch | work | done | ETA | loss | card@1 | zone | tile | timing
-----+-------+-------+-------+------+------+-----+------+--------+------+------+-------
02:24:51 | 4.4.1 | 1/11 | 1/5425 |   0.00% | 512/30,550,828 | 18h30m | 4.698 | — | — | — | —
02:24:57 | 4.4.1 | 1/11 | 25/5425 |   0.04% | 12,800/30,550,828 | 4h48m | 4.617 | — | — | — | —
02:25:03 | 4.4.1 | 1/11 | 50/5425 |   0.08% | 25,600/30,550,828 | 4h14m | 4.930 | — | — | — | —
02:25:08 | 4.4.1 | 1/11 | 75/5425 |   0.13% | 38,400/30,550,828 | 4h02m | 4.679 | — | — | — | —
02:25:14 | 4.4.1 | 1/11 | 100/5425 |   0.17% | 51,200/30,550,828 | 3h54m | 4.834 | — | — | — | —
02:25:19 | 4.4.1 | 1/11 | 125/5425 |   0.21% | 64,000/30,550,828 | 3h52m | 4.779 | — | — | — | —
02:25:25 | 4.4.1 | 1/11 | 150/5425 |   0.25% | 76,800/30,550,828 | 3h50m | 4.789 | — | — | — | —
02:25:31 | 4.4.1 | 1/11 | 175/5425 |   0.29% | 89,600/30,550,828 | 3h50m | 4.760 | — | — | — | —
02:25:37 | 4.4.1 | 1/11 | 200/5425 |   0.34% | 102,400/30,550,828 | 3h53m | 4.663 | — | — | — | —
02:25:43 | 4.4.1 | 1/11 | 225/5425 |   0.38% | 115,200/30,550,828 | 3h52m | 4.780 | — | — | — | —
02:25:48 | 4.4.1 | 1/11 | 250/5425 |   0.42% | 128,000/30,550,828 | 3h51m | 4.742 | — | — | — | —
02:25:54 | 4.4.1 | 1/11 | 275/5425 |   0.46% | 140,800/30,550,828 | 3h49m | 4.630 | — | — | — | —
02:25:59 | 4.4.1 | 1/11 | 300/5425 |   0.50% | 153,600/30,550,828 | 3h47m | 4.695 | — | — | — | —
02:26:05 | 4.4.1 | 1/11 | 325/5425 |   0.54% | 166,400/30,550,828 | 3h48m | 4.753 | — | — | — | —
02:26:11 | 4.4.1 | 1/11 | 350/5425 |   0.59% | 179,200/30,550,828 | 3h48m | 4.699 | — | — | — | —
02:26:17 | 4.4.1 | 1/11 | 375/5425 |   0.63% | 192,000/30,550,828 | 3h49m | 4.663 | — | — | — | —
02:26:23 | 4.4.1 | 1/11 | 400/5425 |   0.67% | 204,800/30,550,828 | 3h49m | 4.717 | — | — | — | —
02:26:29 | 4.4.1 | 1/11 | 425/5425 |   0.71% | 217,600/30,550,828 | 3h49m | 4.721 | — | — | — | —
02:26:41 | 4.4.1 | 1/11 | 450/5425 |   0.75% | 230,400/30,550,828 | 4h03m | 4.929 | — | — | — | —
02:26:47 | 4.4.1 | 1/11 | 475/5425 |   0.80% | 243,200/30,550,828 | 4h02m | 4.957 | — | — | — | —
02:26:53 | 4.4.1 | 1/11 | 500/5425 |   0.84% | 256,000/30,550,828 | 4h02m | 4.972 | — | — | — | —
02:26:59 | 4.4.1 | 1/11 | 525/5425 |   0.88% | 268,800/30,550,828 | 4h02m | 4.756 | — | — | — | —
02:27:05 | 4.4.1 | 1/11 | 550/5425 |   0.92% | 281,600/30,550,828 | 4h01m | 4.896 | — | — | — | —
02:27:10 | 4.4.1 | 1/11 | 575/5425 |   0.96% | 294,400/30,550,828 | 4h00m | 4.741 | — | — | — | —
02:27:16 | 4.4.1 | 1/11 | 600/5425 |   1.01% | 307,200/30,550,828 | 4h00m | 4.569 | — | — | — | —
02:27:23 | 4.4.1 | 1/11 | 625/5425 |   1.05% | 320,000/30,550,828 | 4h00m | 4.708 | — | — | — | —
02:27:29 | 4.4.1 | 1/11 | 650/5425 |   1.09% | 332,800/30,550,828 | 4h00m | 4.749 | — | — | — | —
02:27:38 | 4.4.1 | 1/11 | 675/5425 |   1.13% | 345,600/30,550,828 | 4h05m | 4.775 | — | — | — | —
02:27:52 | 4.4.1 | 1/11 | 700/5425 |   1.17% | 358,400/30,550,828 | 4h15m | 4.668 | — | — | — | —
02:28:01 | 4.4.1 | 1/11 | 725/5425 |   1.21% | 371,200/30,550,828 | 4h18m | 4.932 | — | — | — | —
02:28:08 | 4.4.1 | 1/11 | 750/5425 |   1.26% | 384,000/30,550,828 | 4h18m | 4.656 | — | — | — | —
02:28:14 | 4.4.1 | 1/11 | 775/5425 |   1.30% | 396,800/30,550,828 | 4h18m | 4.818 | — | — | — | —
02:28:20 | 4.4.1 | 1/11 | 800/5425 |   1.34% | 409,600/30,550,828 | 4h18m | 4.695 | — | — | — | —
02:28:26 | 4.4.1 | 1/11 | 825/5425 |   1.38% | 422,400/30,550,828 | 4h16m | 4.646 | — | — | — | —
02:28:32 | 4.4.1 | 1/11 | 850/5425 |   1.42% | 435,200/30,550,828 | 4h16m | 4.718 | — | — | — | —
02:28:40 | 4.4.1 | 1/11 | 875/5425 |   1.47% | 448,000/30,550,828 | 4h17m | 4.913 | — | — | — | —
02:28:46 | 4.4.1 | 1/11 | 900/5425 |   1.51% | 460,800/30,550,828 | 4h16m | 4.849 | — | — | — | —
02:28:53 | 4.4.1 | 1/11 | 925/5425 |   1.55% | 473,600/30,550,828 | 4h17m | 4.858 | — | — | — | —
02:28:59 | 4.4.1 | 1/11 | 950/5425 |   1.59% | 486,400/30,550,828 | 4h16m | 4.552 | — | — | — | —
02:29:05 | 4.4.1 | 1/11 | 975/5425 |   1.63% | 499,200/30,550,828 | 4h16m | 4.820 | — | — | — | —
02:29:14 | 4.4.1 | 1/11 | 1000/5425 |   1.68% | 512,000/30,550,828 | 4h18m | 4.687 | — | — | — | —
02:29:21 | 4.4.1 | 1/11 | 1025/5425 |   1.72% | 524,800/30,550,828 | 4h18m | 4.745 | — | — | — | —
02:29:27 | 4.4.1 | 1/11 | 1050/5425 |   1.76% | 537,600/30,550,828 | 4h17m | 4.934 | — | — | — | —
02:29:33 | 4.4.1 | 1/11 | 1075/5425 |   1.80% | 550,400/30,550,828 | 4h16m | 4.872 | — | — | — | —
02:29:39 | 4.4.1 | 1/11 | 1100/5425 |   1.84% | 563,200/30,550,828 | 4h16m | 4.719 | — | — | — | —
